condition,segment,start_s,end_s,duration_s,distance_m,speed_m_s,net_J_kg,net_mLO2_kg
NoExo,RA1,0.0000,77.6100,77.6100,87.7824,1.1311,207.1650,10.6513
NoExo,RA2,77.6100,226.6200,149.0100,162.4584,1.0903,981.8639,49.7999
NoExo,SA1,226.6200,270.0700,43.4500,26.8180,0.6172,330.8755,16.4397
NoExo,SD1,270.0700,310.2600,40.1900,26.8180,0.6673,302.3330,14.7253
NoExo,SA2,310.2600,353.2300,42.9700,26.8180,0.6241,272.3178,13.0227
NoExo,SD2,353.2300,391.6400,38.4100,26.8180,0.6982,270.3060,13.1240
NoExo,SA3,391.6400,434.7200,43.0800,26.8180,0.6225,266.2780,12.7392
NoExo,Stand,434.7200,614.2100,179.4900,0.0000,,358.4225,16.6393
ExoOff,RA1,0.0000,82.1400,82.1400,87.7824,1.0687,251.8905,12.7481
ExoOff,RA2,82.1400,237.8900,155.7500,162.4584,1.0431,1046.4487,52.1819
ExoOff,SA1,237.8900,282.6700,44.7800,26.8180,0.5989,343.3883,16.7459
ExoOff,SD1,282.6700,325.2500,42.5800,26.8180,0.6298,317.5616,15.1659
ExoOff,SA2,325.2500,371.5300,46.2800,26.8180,0.5795,306.4746,14.4357
ExoOff,SD2,371.5300,414.7400,43.2100,26.8180,0.6206,312.0332,14.8994
ExoOff,SA3,414.7400,460.3700,45.6300,26.8180,0.5877,282.0612,13.3496
ExoOff,Stand,460.3700,640.5000,180.1300,0.0000,,366.6308,16.6534
ExoOn,RA1,0.0000,71.3900,71.3900,87.7824,1.2296,237.1048,12.0633
ExoOn,RA2,71.3900,218.9200,147.5300,162.4584,1.1012,970.8656,48.7898
ExoOn,SA1,218.9200,261.5300,42.6100,26.8180,0.6294,302.1722,14.9083
ExoOn,SD1,261.5300,302.7000,41.1700,26.8180,0.6514,291.9101,14.1949
ExoOn,SA2,302.7000,346.7600,44.0600,26.8180,0.6087,275.1618,13.1366
ExoOn,SD2,346.7600,386.2100,39.4500,26.8180,0.6798,279.2255,13.5436
ExoOn,SA3,386.2100,430.8700,44.6600,26.8180,0.6005,271.0192,12.9599
ExoOn,Stand,430.8700,610.3500,179.4800,0.0000,,326.9083,15.0146
