condition,segment,start_s,end_s,duration_s,distance_m,speed_m_s,net_J_kg,net_rate_W_kg,CoT_J_kg_per_m_s,net_mLO2_kg,net_rate_mL_kg_min,CoT_mLO2_kg_per_m_s
NoExo,RA1,0.0000,71.7300,71.7300,87.7824,1.2238,139.9826,1.9515,114.3846,7.2209,6.0401,5.9005
NoExo,RA2,71.7300,215.0400,143.3100,162.4584,1.1336,759.9365,5.3027,670.3654,38.5162,16.1257,33.9765
NoExo,SA1,215.0400,263.5600,48.5200,26.8180,0.5527,298.3230,6.1485,539.7350,14.5817,18.0317,26.3816
NoExo,SD1,263.5600,304.5100,40.9500,26.8180,0.6549,234.1528,5.7180,357.5414,11.2453,16.4766,17.1710
NoExo,SA2,304.5100,349.4300,44.9200,26.8180,0.5970,221.6468,4.9343,371.2566,10.4186,13.9162,17.4511
NoExo,SD2,349.4300,388.1200,38.6900,26.8180,0.6932,217.9305,5.6327,314.4052,10.5679,16.3885,15.2461
NoExo,SA3,388.1200,431.3500,43.2300,26.8180,0.6204,222.0886,5.1374,358.0013,10.4579,14.5148,16.8579
NoExo,Stand,431.3500,611.5100,180.1600,0.0000,,316.9531,1.7593,,14.4685,4.8185,
ExoOff,RA1,0.0000,82.3500,82.3500,87.7824,1.0660,278.7473,3.3849,261.4971,13.9720,10.1800,13.1073
ExoOff,RA2,82.3500,256.0800,173.7300,162.4584,0.9351,891.0823,5.1291,952.9069,43.6930,15.0900,46.7245
ExoOff,SA1,256.0800,316.0100,59.9300,26.8180,0.4475,364.2707,6.0783,814.0321,17.4984,17.5188,39.1035
ExoOff,SD1,316.0100,360.3300,44.3200,26.8180,0.6051,209.1740,4.7196,345.6849,9.7356,13.1799,16.0892
ExoOff,SA2,360.3300,420.4400,60.1100,26.8180,0.4461,325.0109,5.4069,728.4801,15.3862,15.3581,34.4868
ExoOff,SD2,420.4400,463.5000,43.0600,26.8180,0.6228,183.9584,4.2721,295.3701,8.4386,11.7583,13.5492
ExoOff,SA3,463.5000,521.0600,57.5600,26.8180,0.4659,291.8816,5.0709,626.4703,13.8994,14.4887,29.8326
ExoOff,Stand,521.0600,685.0000,163.9400,0.0000,,219.5141,1.3390,,9.5369,3.4904,
ExoOn,RA1,0.0000,73.1300,73.1300,87.7824,1.2004,315.4569,4.3136,262.8017,16.0789,13.1920,13.3950
ExoOn,RA2,73.1300,223.3900,150.2600,162.4584,1.0812,891.8980,5.9357,824.9287,45.0481,17.9881,41.6656
ExoOn,SA1,223.3900,266.8200,43.4300,26.8180,0.6175,265.2284,6.1070,429.5194,13.0364,18.0102,21.1115
ExoOn,SD1,266.8200,310.2100,43.3900,26.8180,0.6181,284.6351,6.5599,460.5228,13.8215,19.1125,22.3624
ExoOn,SA2,310.2100,353.2500,43.0400,26.8180,0.6231,248.1071,5.7646,398.1846,11.7065,16.3195,18.7876
ExoOn,SD2,353.2500,396.4000,43.1500,26.8180,0.6215,268.5096,6.2227,432.0297,13.0355,18.1258,20.9740
ExoOn,SA3,396.4000,439.5800,43.1800,26.8180,0.6211,247.7268,5.7371,398.8675,11.7990,16.3951,18.9977
ExoOn,Stand,439.5800,618.7300,179.1500,0.0000,,371.3766,2.0730,,16.9575,5.6793,
